title,author,user_rating,published_year,avg_rating,ratings_count
"A Storm of Swords(A Song of Ice and Fire, #3)","Martin, George R.R.",3,2000,4.55,821702
"A Clash of Kings(A Song of Ice and Fire, #2)","Martin, George R.R.",4,1998,4.42,988652
"Inheritance(The Inheritance Cycle, #4)","Paolini, Christopher",4,2011,4.16,298383
Brisingr(The Inheritance Cycle #3),"Paolini, Christopher",4,2008,4.1,400517
"Eldest(The Inheritance Cycle, #2)","Paolini, Christopher",4,2005,4.05,475007
"A Court of Wings and Ruin(A Court of Thorns and Roses, #3)","Maas, Sarah J.",3,2017,4.47,2343630
"A Court of Mist and Fury(A Court of Thorns and Roses, #2)","Maas, Sarah J.",4,2016,4.64,2795235
"Four: A Divergent Story Collection(Divergent, #0.1-0.4)","Roth, Veronica",2,2014,3.94,245995
"Allegiant(Divergent, #3)","Roth, Veronica",2,2013,3.6,1109767
"Insurgent(Divergent, #2)","Roth, Veronica",3,2012,3.97,1578665
"Finale(Hush, Hush, #4)","Fitzpatrick, Becca",2,2012,4.11,183101
"Crescendo(Hush, Hush, #2)","Fitzpatrick, Becca",4,2010,3.98,332852
"The Dark Tower(The Dark Tower, #7)","King, Stephen",3,2004,4.29,182722
"Song of Susannah(The Dark Tower, #6)","King, Stephen",4,2004,4.0,168878
"Wolves of the Calla(The Dark Tower, #5)","King, Stephen",5,2003,4.2,194868
"Wizard and Glass(The Dark Tower, #4)","King, Stephen",5,1997,4.27,211675
"The Waste Lands(The Dark Tower, #3)","King, Stephen",4,1991,4.25,236470
"The Drawing of the Three(The Dark Tower, #2)","King, Stephen",5,1987,4.24,278596
"The Gunslinger(The Dark Tower, #1)","King, Stephen",4,1982,3.92,642781
The Demigod Files,"Riordan, Rick",4,2009,4.02,119412
"The House of Hades(The Heroes of Olympus, #4)","Riordan, Rick",3,2013,4.57,459354
"The Lost Hero(The Heroes of Olympus, #1)","Riordan, Rick",4,2010,4.3,907252
"The Son of Neptune(The Heroes of Olympus, #2)","Riordan, Rick",3,2011,4.41,640898
"The Last Olympian(Percy Jackson and the Olympians, #5)","Riordan, Rick",4,2009,4.55,1096212
"The Sea of Monsters(Percy Jackson and the Olympians, #2)","Riordan, Rick",3,2006,4.24,1293120
"The Battle of the Labyrinth(Percy Jackson and the Olympians, #4)","Riordan, Rick",4,2008,4.42,1169924
"The Heart of Betrayal(The Remnant Chronicles, #2)","Pearson, Mary E.",4,2015,4.16,89337
"The Kiss of Deception(The Remnant Chronicles, #1)","Pearson, Mary E.",4,2014,3.92,153713
"Crooked Kingdom(Six of Crows, #2)","Bardugo, Leigh",5,2016,4.58,720464
"Six of Crows(Six of Crows, #1)","Bardugo, Leigh",5,2015,4.47,1074216
"Ruin and Rising(The Shadow and Bone Trilogy, #3)","Bardugo, Leigh",3,2014,3.98,568037
"Siege and Storm(The Shadow and Bone Trilogy, #2)","Bardugo, Leigh",3,2013,3.81,658381
"Carry On(Simon Snow, #1)","Rowell, Rainbow",4,2015,4.16,326826
"Strange the Dreamer(Strange the Dreamer, #1)","Taylor, Laini",4,2017,4.28,130116
"Dreams of Gods & Monsters(Daughter of Smoke & Bone, #3)","Taylor, Laini",4,2014,4.12,113298
"Blue Lily, Lily Blue(The Raven Cycle, #3)","Stiefvater, Maggie",5,2014,4.26,174892
"The Dream Thieves(The Raven Cycle, #2)","Stiefvater, Maggie",4,2013,4.22,213010
"The Winner's Kiss(The Winner's Trilogy, #3)","Rutkoski, Marie",4,2016,4.2,52592
"The Winner's Crime(The Winner's Trilogy, #2)","Rutkoski, Marie",5,2015,4.08,68171
"Harry Potter and the Half-Blood Prince(Harry Potter, #6)","Rowling, J.K.",5,2005,4.58,3511736
"Harry Potter and the Order of the Phoenix(Harry Potter, #5)","Rowling, J.K.",4,2003,4.5,3634382
"Harry Potter and the Goblet of Fire(Harry Potter, #4)","Rowling, J.K.",5,2000,4.57,4003261
